中文,繁體,英文,拼音,领域,适用法域,来源地区,类型,来源语境,学习注释,来源记录,条目ID,数据许可,译文审核,中文释义,译法说明,法律依据
劳动合同类型,勞動合同類型,types of employment contracts,lao2 dong4 he2 tong2 lei4 xing2,employment,CN,INTERNATIONAL,term,中华人民共和国劳动合同法（2012修正）,“固定期限”和“无固定期限”是法定分类；第三类以完成一定工作任务作为期限边界。,oll-cn-admin-labor:cn-labor-contract-types,cn-labor-contract-types,CC-BY-4.0,project_authored,劳动合同法按期限安排将劳动合同分为固定期限、无固定期限以及以完成一定工作任务为期限三类。,项目释译，非官方译文；types of employment contracts 表示第十二条的法定分类。,中华人民共和国劳动合同法（2012修正） 第12条 https://fgk.chinatax.gov.cn/zcfgk/c100009/c5193025/content.html
劳动合同终止,勞動合同終止,termination of an employment contract,lao2 dong4 he2 tong2 zhong1 zhi3,employment,CN,INTERNATIONAL,term,中华人民共和国劳动合同法（2012修正）,“终止”与“解除”在劳动合同法中是不同制度用语；第四十四条列举终止事由，不能把所有劳动关系结束都一概标成同一种原因。,oll-cn-admin-labor:cn-labor-contract-termination,cn-labor-contract-termination,CC-BY-4.0,project_authored,劳动合同因期满、劳动者依法开始享受基本养老保险待遇、主体死亡或用人单位破产解散等法定事由而终止。,项目释译，非官方译文；termination 在英文中可能同时覆盖中文的解除和终止，使用时应结合中文制度标签与条文依据。,中华人民共和国劳动合同法（2012修正） 第44条 https://fgk.chinatax.gov.cn/zcfgk/c100009/c5193025/content.html
劳动者即时解除劳动合同,勞動者即時解除勞動合同,immediate termination of an employment contract by the employee,lao2 dong4 zhe3 ji2 shi2 jie3 chu2 lao2 dong4 he2 tong2,employment,CN,INTERNATIONAL,action,中华人民共和国劳动合同法（2012修正）,第三十八条还列有其他劳动者可以解除合同的情形；“立即解除且无需事先告知”特指该条第二款列举的严重情形。,oll-cn-admin-labor:cn-labor-employee-immediate-termination,cn-labor-employee-immediate-termination,CC-BY-4.0,project_authored,在用人单位以暴力、威胁、非法限制人身自由强迫劳动，或者违章指挥、强令冒险作业危及劳动者人身安全等法定严重情形下，劳动者无需事先告知即可立即解除劳动合同。,项目释译，非官方译文；immediate termination 强调无需事先通知的法定情形，不概括第三十八条全部解除权。,中华人民共和国劳动合同法（2012修正） 第38条 https://fgk.chinatax.gov.cn/zcfgk/c100009/c5193025/content.html
劳动者预告解除劳动合同,勞動者預告解除勞動合同,employee termination of an employment contract by notice,lao2 dong4 zhe3 yu4 gao4 jie3 chu2 lao2 dong4 he2 tong2,employment,CN,INTERNATIONAL,action,中华人民共和国劳动合同法（2012修正）,一般情形下劳动者应提前三十日以书面形式通知；试用期内提前三日通知即可，条文未对试用期三日通知另行写明必须采用书面形式。,oll-cn-admin-labor:cn-labor-employee-notice-termination,cn-labor-employee-notice-termination,CC-BY-4.0,project_authored,劳动者按照法定提前通知期限向用人单位通知后解除劳动合同的方式。,项目释译，非官方译文；termination by notice 用于描述第三十七条劳动者依法预告解除。,中华人民共和国劳动合同法（2012修正） 第37条 https://fgk.chinatax.gov.cn/zcfgk/c100009/c5193025/content.html
勤勉义务,勤勉義務,duty of diligence,qin2 mian3 yi4 wu4,company,CN,INTERNATIONAL,term,中华人民共和国公司法（2023修订）,它与避免利益冲突的忠实义务分别规定，关注履职的注意程度。,oll-cn-core:cn-duty-diligence,cn-duty-diligence,CC-BY-4.0,project_authored,执行公司职务时，为公司最大利益尽到管理者通常应有合理注意的义务。,项目释译，非官方译文；不以英文 duty of care 自动引入其他法域审查标准。,中华人民共和国公司法（2023修订） 第180条 https://fgk.chinatax.gov.cn/zcfgk/c100009/c5233383/content.html
匿名化,匿名化,anonymization,ni4 ming2 hua4,privacy,CN,INTERNATIONAL,term,中华人民共和国个人信息保护法（2021）,匿名化后的信息不属于第四条定义的个人信息；仅移除姓名未必达到本条标准。,oll-cn-core:cn-anonymization,cn-anonymization,CC-BY-4.0,project_authored,处理个人信息后无法识别特定自然人且不能复原的过程。,项目释译，非官方译文；不能只因使用代号就标注为 anonymized。,"中华人民共和国个人信息保护法（2021） 第4,73条 https://www.cac.gov.cn/2021-08/20/c_1631050028355286.htm"
协商变更合同,協商變更合同,vary a contract by agreement,xie2 shang1 bian4 geng1 he2 tong2,contracts,CN,INTERNATIONAL,action,中华人民共和国民法典（2020）,变更内容约定不明确的，推定未变更；不要由继续磋商直接认定变更已经完成。,oll-cn-contract-phrases:cn-vary-contract,cn-vary-contract,CC-BY-4.0,project_authored,当事人协商一致改变合同内容。,项目释译，非官方译文；vary 在合同英文中可表示变更；不是取消原合同的一般同义词。,"中华人民共和国民法典（2020） 第543,544条 https://www.court.gov.cn/zixun/xiangqing/233181.html"
协商解除劳动合同,協商解除勞動合同,termination of an employment contract by mutual agreement,xie2 shang1 jie3 chu2 lao2 dong4 he2 tong2,employment,CN,INTERNATIONAL,action,中华人民共和国劳动合同法（2012修正）,第三十六条规定双方协商一致即可解除；是否产生法定经济补偿还要结合第四十六条等规定判断。,oll-cn-admin-labor:cn-labor-mutual-termination,cn-labor-mutual-termination,CC-BY-4.0,project_authored,用人单位与劳动者经协商一致解除劳动合同。,项目释译，非官方译文；by mutual agreement 强调双方一致，不表示所有协议解除的补偿后果相同。,"中华人民共和国劳动合同法（2012修正） 第36,46条 https://fgk.chinatax.gov.cn/zcfgk/c100009/c5193025/content.html"
协商解除合同,協商解除合同,terminate a contract by mutual agreement,xie2 shang1 jie3 chu2 he2 tong2,contracts,CN,INTERNATIONAL,action,中华人民共和国民法典（2020）,同条另允许约定一方解除事由；双方协商解除与一方行使约定解除权分开理解。,oll-cn-contract-phrases:cn-terminate-by-agreement,cn-terminate-by-agreement,CC-BY-4.0,project_authored,当事人达成一致，解除合同。,项目释译，非官方译文；terminate 用于解除合同；具体已履行部分的后果仍应看第五百六十六条，不能仅凭英文推断溯及力。,中华人民共和国民法典（2020） 第562条 https://www.court.gov.cn/zixun/xiangqing/233181.html
协定税率,協定稅率,conventional tariff rate,xie2 ding4 shui4 lv4,"tax,trade",CN,INTERNATIONAL,term,中华人民共和国关税法（2024）,第十二条把协定税率与最惠国税率、特惠税率、普通税率按适用基础区分；不能仅因存在贸易协定就忽略原产地及协定条件。,oll-cn-tax-trade:cn-customs-conventional-rate,cn-customs-conventional-rate,CC-BY-4.0,project_authored,对原产于与中国缔结或共同参加含有关税优惠条款的国际条约、协定的国家或地区，并符合有关规定的进口货物适用的税率。,项目释译，非官方译文；conventional tariff rate 用于本法“协定税率”，不主张跨法域术语完全等同。,"中华人民共和国关税法（2024） 第10,12条 https://fgk.chinatax.gov.cn/zcfgk/c100009/c5234556/content.html"
协议抵销,協議抵銷,set-off by agreement,xie2 yi4 di3 xiao1,contracts,CN,INTERNATIONAL,term,中华人民共和国民法典（2020）,与第五百六十八条法定抵销的条件分列；本条依赖双方协商一致。,oll-cn-contract-phrases:cn-agreed-setoff,cn-agreed-setoff,CC-BY-4.0,project_authored,互负债务的当事人经协商一致，就种类或品质不同的标的债务进行抵销。,项目释译，非官方译文；set-off by agreement 与 statutory set-off 区分，不当作任一方单方扣款权限。,中华人民共和国民法典（2020） 第569条 https://www.court.gov.cn/zixun/xiangqing/233181.html
协议管辖,協議管轄,choice-of-court agreement,xie2 yi4 guan3 xia2,dispute_resolution,CN,INTERNATIONAL,term,中华人民共和国民事诉讼法（2023年修正）,协议应当落在法定允许范围内；“实际联系”以及级别、专属管辖限制需要单独核验。,oll-cn-dispute-resolution:cn-cpl-choice-of-court-agreement,cn-cpl-choice-of-court-agreement,CC-BY-4.0,project_authored,合同或者其他财产权益纠纷的当事人，可以书面选择与争议有实际联系地点的人民法院管辖，但不得违反级别管辖和专属管辖。,项目释译，非官方译文；choice-of-court agreement is used instead of assuming identical scope with a foreign-law forum-selection clause.,中华人民共和国民事诉讼法（2023年修正） 第35条 https://jiangsu.chinatax.gov.cn/art/2023/9/1/art_23636_1028.html
单位受贿,單位受賄,acceptance of bribes by an entity,dan1 wei4 shou4 hui4,criminal,CN,INTERNATIONAL,term,中华人民共和国刑法（含刑法修正案十二的现行合并文本）,刑法修正案（十二）调整了第三百八十七条的刑罚结构；本项目使用“单位受贿”作为学习标签，具体罪名认定仍以现行法和司法规则为准。,oll-cn-criminal:cn-entity-accepting-bribes,cn-entity-accepting-bribes,CC-BY-4.0,project_authored,国家机关、国有公司、企业、事业单位、人民团体索取或非法收受他人财物、为他人谋取利益并达到法定情节时承担刑事责任的行为。,项目释译，非官方译文；英文仅服务中国大陆刑法学习语境，不主张跨法域概念完全等同。,中华人民共和国刑法（含刑法修正案十二的现行合并文本） 第387条 https://tianjin.chinatax.gov.cn/11200000000/0300/030004/03000418/20240920152615743.shtml
单位犯罪,單位犯罪,crime committed by an entity,dan1 wei4 fan4 zui4,criminal,CN,INTERNATIONAL,term,中华人民共和国刑法（含刑法修正案十二的现行合并文本）,第三十条要求法律明文规定为单位犯罪；第三十一条原则上对单位判处罚金，并处罚直接负责的主管人员和其他直接责任人员，但分则和其他法律可另有规定。,oll-cn-criminal:cn-unit-crime,cn-unit-crime,CC-BY-4.0,project_authored,公司、企业、事业单位、机关、团体实施危害社会的行为，法律明确规定为单位犯罪时承担刑事责任的制度。,项目释译，非官方译文；英文仅服务中国大陆刑法学习语境，不主张跨法域概念完全等同。,"中华人民共和国刑法（含刑法修正案十二的现行合并文本） 第30,31条 https://tianjin.chinatax.gov.cn/11200000000/0300/030004/03000418/20240920152615743.shtml"
单位行贿,單位行賄,bribery by an entity,dan1 wei4 xing2 hui4,criminal,CN,INTERNATIONAL,term,中华人民共和国刑法（含刑法修正案十二的现行合并文本）,刑法修正案（十二）调整第三百九十三条，对情节严重和特别严重设置不同刑罚后果，并区分违法所得归个人所有的处理。,oll-cn-criminal:cn-entity-bribery,cn-entity-bribery,CC-BY-4.0,project_authored,单位为谋取不正当利益而行贿，或者违反国家规定给予国家工作人员回扣、手续费并达到法定情节的行为。,项目释译，非官方译文；英文仅服务中国大陆刑法学习语境，不主张跨法域概念完全等同。,中华人民共和国刑法（含刑法修正案十二的现行合并文本） 第393条 https://tianjin.chinatax.gov.cn/11200000000/0300/030004/03000418/20240920152615743.shtml
单独关税区,單獨關稅區,separate customs territory,dan1 du2 guan1 shui4 qu1,trade,CN,INTERNATIONAL,term,中华人民共和国对外贸易法（2025第二次修订）,第八十二条只明确“中华人民共和国的单独关税区不适用本法”。学习和检索时应把它视为适用范围边界，不能仅凭该条自行推定具体地区名单或其他法律后果。,oll-cn-tax-trade:cn-separate-customs-territory,cn-separate-customs-territory,CC-BY-4.0,project_authored,《对外贸易法》第八十二条用于指称不适用该法的中华人民共和国单独关税区；该条本身未进一步定义其具体构成。,项目释译，非官方译文；separate customs territory 仅忠实表达条文用语及其适用范围功能。,中华人民共和国对外贸易法（2025第二次修订） 第82条 https://www.baiyinqu.gov.cn/XZJDBMDW/bmdw/byqswjn/fdzdgknr/lzyj/zcfg/art/2025/art_f4f31ac31bb8407a8b8d6afd5ac8f411.html
去标识化,去標識化,de-identification,qu4 biao1 shi2 hua4,privacy,CN,INTERNATIONAL,term,中华人民共和国个人信息保护法（2021）,额外信息仍可能使识别成为可能；与不能复原的匿名化不同。,oll-cn-core:cn-de-identification,cn-de-identification,CC-BY-4.0,project_authored,处理个人信息，使其在不借助额外信息时无法识别特定自然人的过程。,项目释译，非官方译文；本法采用的术语边界应与 anonymization 区分。,中华人民共和国个人信息保护法（2021） 第73条 https://www.cac.gov.cn/2021-08/20/c_1631050028355286.htm
反倾销措施,反傾銷措施,anti-dumping measures,fan3 qing1 xiao1 cuo4 shi1,trade,CN,INTERNATIONAL,term,中华人民共和国对外贸易法（2025第二次修订）,第四十五条同时要求倾销和对国内产业的实质损害、实质损害威胁或对建立国内产业的实质阻碍等要件；不能只因进口价格较低就认定应采取反倾销措施。,oll-cn-tax-trade:cn-anti-dumping-measures,cn-anti-dumping-measures,CC-BY-4.0,project_authored,对以低于正常价值的倾销方式进入中国市场、并对国内产业造成法定损害、威胁或实质阻碍的产品依法采取的贸易救济措施。,项目释译，非官方译文；anti-dumping measures 为通行贸易救济术语。,中华人民共和国对外贸易法（2025第二次修订） 第45条 https://www.baiyinqu.gov.cn/XZJDBMDW/bmdw/byqswjn/fdzdgknr/lzyj/zcfg/art/2025/art_f4f31ac31bb8407a8b8d6afd5ac8f411.html
反补贴措施,反補貼措施,countervailing measures,fan3 bu3 tie1 cuo4 shi1,trade,CN,INTERNATIONAL,term,中华人民共和国对外贸易法（2025第二次修订）,第四十七条要求关注“专向性补贴”和国内产业损害等法定要件；补贴存在本身并不自动等于应采取反补贴措施。,oll-cn-tax-trade:cn-countervailing-measures,cn-countervailing-measures,CC-BY-4.0,project_authored,对进口产品直接或间接接受出口国家或地区给予的专向性补贴，并造成法定产业损害、威胁或实质阻碍时依法采取的贸易救济措施。,项目释译，非官方译文；countervailing measures 对应贸易救济中的反补贴措施。,中华人民共和国对外贸易法（2025第二次修订） 第47条 https://www.baiyinqu.gov.cn/XZJDBMDW/bmdw/byqswjn/fdzdgknr/lzyj/zcfg/art/2025/art_f4f31ac31bb8407a8b8d6afd5ac8f411.html
反诉,反訴,counterclaim,fan3 su4,dispute_resolution,CN,INTERNATIONAL,action,中华人民共和国民事诉讼法（2023年修正）,反诉由被告提出；具体是否受理、是否合并审理仍应结合案件事实和程序规则判断。,oll-cn-dispute-resolution:cn-cpl-counterclaim,cn-cpl-counterclaim,CC-BY-4.0,project_authored,民事诉讼中，被告针对原告依法提出与本诉相关的诉讼请求。,"项目释译，非官方译文；counterclaim is a conventional equivalent, but its admissibility follows PRC procedural rules.",中华人民共和国民事诉讼法（2023年修正） 第54条 https://jiangsu.chinatax.gov.cn/art/2023/9/1/art_23636_1028.html
发回重审,發回重審,remand for retrial,fa1 hui2 chong2 shen3,dispute_resolution,CN,INTERNATIONAL,action,中华人民共和国民事诉讼法（2023年修正）,基本事实不清或严重违反法定程序等情形可能触发发回重审；其与二审直接改判不同。,oll-cn-dispute-resolution:cn-cpl-remand-retrial,cn-cpl-remand-retrial,CC-BY-4.0,project_authored,第二审人民法院在法定情形下撤销原判决，并将案件发回原审人民法院重新审理。,项目释译，非官方译文；remand for retrial describes the PRC second-instance disposition and not every form of remand in foreign procedure.,中华人民共和国民事诉讼法（2023年修正） 第177条 https://jiangsu.chinatax.gov.cn/art/2023/9/1/art_23636_1028.html
发行权,發行權,right of distribution,fa1 xing2 quan2,intellectual_property,CN,INTERNATIONAL,term,中华人民共和国著作权法（2020修正）,本条定义聚焦向公众出售或赠与，与信息网络传播权有不同表述。,oll-cn-core:cn-distribution-right,cn-distribution-right,CC-BY-4.0,project_authored,以出售或赠与方式向公众提供作品原件或复制件的权利。,项目释译，非官方译文；不是股票发行或新闻发布。,中华人民共和国著作权法（2020修正） 第10条 https://www.ncac.gov.cn/xxfb/flfg/flfg_532/202103/t20210309_50530.html
受理仲裁申请,受理仲裁申請,accept an arbitration application,shou4 li3 zhong4 cai2 shen1 qing3,dispute_resolution,CN,INTERNATIONAL,action,中华人民共和国仲裁法（2025修订）,仲裁机构应在收到申请书之日起五日内作出受理或不予受理的处理；不予受理应书面说明理由。,oll-cn-dispute-resolution:cn-arb-accept-arbitration-application,cn-arb-accept-arbitration-application,CC-BY-4.0,project_authored,仲裁机构收到仲裁申请后，审查认为符合法定受理条件并决定受理。,"项目释译，非官方译文；accept means procedural acceptance by the arbitration institution, not substantive acceptance of the claimant’s case.",中华人民共和国仲裁法（2025修订） 第35条 https://policy.mofcom.gov.cn/claw/clawContent.shtml?id=103718
可仲裁性,可仲裁性,arbitrability,ke3 zhong4 cai2 xing4,dispute_resolution,CN,INTERNATIONAL,term,中华人民共和国仲裁法（2025修订）,平等主体之间的合同纠纷和其他财产权益纠纷原则上可以仲裁；婚姻、收养、监护、扶养、继承纠纷和依法应由行政机关处理的行政争议等不在本法仲裁范围。,oll-cn-dispute-resolution:cn-arb-arbitrability,cn-arb-arbitrability,CC-BY-4.0,project_authored,特定纠纷是否属于法律允许通过仲裁解决的范围。,"项目释译，非官方译文；arbitrability is a conventional comparative-law term, while the actual scope here follows Article 3 of the 2025 PRC Arbitration Law.",中华人民共和国仲裁法（2025修订） 第3条 https://policy.mofcom.gov.cn/claw/clawContent.shtml?id=103718
合同,合同,contract,he2 tong2,"core,contracts",CN,INTERNATIONAL,term,中华人民共和国民法典（2020）,婚姻、收养、监护等身份关系协议优先适用有关身份关系的法律规定。,oll-cn-core:cn-contract,cn-contract,CC-BY-4.0,project_authored,民事主体之间设立、变更或者终止民事法律关系的协议。,项目释译，非官方译文；这是中国民法典的合同概念；英文合同制度要件不可直接移植。,中华人民共和国民法典（2020） 第464条 https://www.court.gov.cn/zixun/xiangqing/233181.html
合同履行可得利益,合同履行可得利益,benefits expected from performance of the contract,he2 tong2 lv3 xing2 ke3 de2 li4 yi4,contracts,CN,INTERNATIONAL,term,中华人民共和国民法典（2020）,可得利益仍受违约造成损失及订约时可预见性限制，不意味着所有预测收入都可获赔。,oll-cn-contract-phrases:cn-benefits-expected-performance,cn-benefits-expected-performance,CC-BY-4.0,project_authored,合同得到履行后本可获得、纳入违约损失赔偿范围考察的利益。,项目释译，非官方译文；采用描述性英文，不把可得利益自动限定为营业利润或未经核实的其他法域 expectation damages 范围。,中华人民共和国民法典（2020） 第584条 https://www.court.gov.cn/zixun/xiangqing/233181.html
合同成立,合同成立,formation of a contract,he2 tong2 cheng2 li4,contracts,CN,INTERNATIONAL,term,中华人民共和国民法典（2020）,承诺生效时原则上成立；合同书还涉及签名、盖章、按指印以及履行主要义务被接受等规则。,oll-cn-contract-phrases:cn-contract-formation,cn-contract-formation,CC-BY-4.0,project_authored,订约过程达到法律或当事人约定的合同形成条件。,项目释译，非官方译文；formation 与 taking effect 分列；不要以合同成立直接断言所有生效条件都已满足。,"中华人民共和国民法典（2020） 第483,490条 https://www.court.gov.cn/zixun/xiangqing/233181.html"
合同生效,合同生效,taking effect of a contract,he2 tong2 sheng1 xiao4,contracts,CN,INTERNATIONAL,term,中华人民共和国民法典（2020）,法律另有规定或当事人另有约定时，成立与生效可能不同步；批准手续的影响依条文处理。,oll-cn-contract-phrases:cn-contract-taking-effect,cn-contract-taking-effect,CC-BY-4.0,project_authored,合同开始发生法律效力的状态，依法成立时生效为一般规则。,项目释译，非官方译文；用 taking effect 表示效力发生时间，不与 formation 或普通文件签署等同。,中华人民共和国民法典（2020） 第502条 https://www.court.gov.cn/zixun/xiangqing/233181.html
合同纠纷地域管辖,合同糾紛地域管轄,territorial jurisdiction over a contract dispute,he2 tong2 jiu1 fen1 di4 yu4 guan3 xia2,dispute_resolution,CN,INTERNATIONAL,term,中华人民共和国民事诉讼法（2023年修正）,若存在有效协议管辖、专属管辖等情形，还应结合其他条文判断，不能只看合同履行地。,oll-cn-dispute-resolution:cn-cpl-contract-dispute-territorial-jurisdiction,cn-cpl-contract-dispute-territorial-jurisdiction,CC-BY-4.0,project_authored,因合同纠纷提起诉讼时，被告住所地或者合同履行地人民法院依法具有地域管辖权。,项目释译，非官方译文；territorial jurisdiction describes the statutory forum rule and is distinct from a contractual choice-of-court agreement.,中华人民共和国民事诉讼法（2023年修正） 第24条 https://jiangsu.chinatax.gov.cn/art/2023/9/1/art_23636_1028.html
合理使用,合理使用,permitted use under statutory copyright limitations,he2 li3 shi3 yong4,intellectual_property,CN,INTERNATIONAL,term,中华人民共和国著作权法（2020修正）,仍须署名、指明作品，并不得影响正常使用或不合理损害权利人合法权益；课堂用途有专门范围限制。,oll-cn-core:cn-permitted-use,cn-permitted-use,CC-BY-4.0,project_authored,在法律列举情形及限制条件下，可以不经许可且不付报酬使用作品的制度。,项目释译，非官方译文；本译法突出法定列举限制，不直接等同美国 fair use 的开放式判断。,中华人民共和国著作权法（2020修正） 第24条 https://www.ncac.gov.cn/xxfb/flfg/flfg_532/202103/t20210309_50530.html
同时履行抗辩权,同時履行抗辯權,defense of simultaneous performance,tong2 shi2 lv3 xing2 kang4 bian4 quan2,contracts,CN,INTERNATIONAL,term,中华人民共和国民法典（2020）,对方履行不符合约定时，可以拒绝相应请求；先确认没有先后履行顺序。,oll-cn-contract-phrases:cn-simultaneous-performance-defense,cn-simultaneous-performance-defense,CC-BY-4.0,project_authored,互负债务且无先后履行顺序时，一方在对方履行前拒绝其履行请求的权利。,项目释译，非官方译文；defense 对应本法履行抗辩，不表述为合同当然终止。,中华人民共和国民法典（2020） 第525条 https://www.court.gov.cn/zixun/xiangqing/233181.html
名誉权,名譽權,right to reputation,ming2 yu4 quan2,civil,CN,INTERNATIONAL,term,中华人民共和国民法典（2020）,侮辱、诽谤等方式不得侵害名誉权；名誉与自然人的私人生活隐私是不同保护对象。,oll-cn-core:cn-reputation-right,cn-reputation-right,CC-BY-4.0,project_authored,民事主体就其品德、声望、才能、信用等社会评价所享有的民事权利。,项目释译，非官方译文；不限于商业商誉 goodwill。,中华人民共和国民法典（2020） 第1024条 https://www.court.gov.cn/zixun/xiangqing/233181.html
向第三人履行债务,向第三人履行債務,perform an obligation to a third party,xiang4 di4 san1 ren2 lv3 xing2 zhai4 wu4,contracts,CN,INTERNATIONAL,action,中华人民共和国民法典（2020）,第三人能否直接请求履行或追责须符合第二款条件；并非所有第三人受益安排都直接授予请求权。,oll-cn-contract-phrases:cn-performance-to-third-party,cn-performance-to-third-party,CC-BY-4.0,project_authored,当事人约定债务人向合同关系以外的第三人履行债务。,项目释译，非官方译文；保留 to a third party 的方向，区别于 performance by a third party。,中华人民共和国民法典（2020） 第522条 https://www.court.gov.cn/zixun/xiangqing/233181.html
商品归类,商品歸類,tariff classification of goods,shang1 pin3 gui1 lei4,"tax,trade",CN,INTERNATIONAL,action,中华人民共和国关税法（2024）,第九条明确商品归类所依据的规则体系；第三十一条规定海关可以依申请或者依职权依法确定商品归类。,oll-cn-tax-trade:cn-customs-classification,cn-customs-classification,CC-BY-4.0,project_authored,依据《税则》的目录条文、归类总规则及相关注释，将进出口货物确定归入相应税则号列的过程。,项目释译，非官方译文；tariff classification of goods 强调海关税则语境下的商品归类。,"中华人民共和国关税法（2024） 第9,31条 https://fgk.chinatax.gov.cn/zcfgk/c100009/c5234556/content.html"
回避,迴避,recusal,hui2 bi4,administrative,CN,INTERNATIONAL,term,中华人民共和国行政处罚法（2021修订）,当事人可以申请执法人员回避；申请提出后由行政机关依法审查，在决定作出前调查原则上不停止。,oll-cn-admin-labor:cn-admin-recusal,cn-admin-recusal,CC-BY-4.0,project_authored,行政处罚案件中，执法人员因与案件存在直接利害关系或其他可能影响公正执法的关系而退出案件办理的制度。,项目释译，非官方译文；recusal 在此特指行政执法人员回避，不自动涵盖司法回避的全部规则。,中华人民共和国行政处罚法（2021修订） 第43条 https://fgk.chinatax.gov.cn/zcfgk/c100009/c5211778/content.html
因第三人原因违约,因第三人原因違約,breach caused by a third party,yin1 di4 san1 ren2 yuan2 yin1 wei2 yue1,contracts,CN,INTERNATIONAL,term,中华人民共和国民法典（2020）,仍应依法向合同对方承担违约责任；其与第三人的纠纷另依法律或约定处理。,oll-cn-contract-phrases:cn-breach-caused-third-party,cn-breach-caused-third-party,CC-BY-4.0,project_authored,合同一方因第三人的原因而未能依约履行。,项目释译，非官方译文；第三人的原因不是一概免责依据；本条也不直接认定该第三人已成为合同当事人。,中华人民共和国民法典（2020） 第593条 https://www.court.gov.cn/zixun/xiangqing/233181.html
固定期限劳动合同,固定期限勞動合同,fixed-term employment contract,gu4 ding4 qi1 xian4 lao2 dong4 he2 tong2,employment,CN,INTERNATIONAL,term,中华人民共和国劳动合同法（2012修正）,固定期限合同可以经双方协商一致订立；“固定期限”强调合同有约定的终止时间。,oll-cn-admin-labor:cn-labor-fixed-term-contract,cn-labor-fixed-term-contract,CC-BY-4.0,project_authored,用人单位与劳动者约定明确合同终止时间的劳动合同。,项目释译，非官方译文；fixed-term employment contract 是本项目统一译法。,中华人民共和国劳动合同法（2012修正） 第13条 https://fgk.chinatax.gov.cn/zcfgk/c100009/c5193025/content.html
国际服务贸易,國際服務貿易,international trade in services,guo2 ji4 fu2 wu4 mao4 yi4,trade,CN,INTERNATIONAL,term,中华人民共和国对外贸易法（2025第二次修订）,第二十七条列举跨境交付、境外消费、商业存在、自然人移动等模式；其中部分模式在第三十一条被统称为跨境服务贸易。,oll-cn-tax-trade:cn-international-trade-in-services,cn-international-trade-in-services,CC-BY-4.0,project_authored,《对外贸易法》纳入对外贸易范围的跨境服务相关贸易活动。,项目释译，非官方译文；international trade in services 依本法服务贸易语境使用。,"中华人民共和国对外贸易法（2025第二次修订） 第2,27,31条 https://www.baiyinqu.gov.cn/XZJDBMDW/bmdw/byqswjn/fdzdgknr/lzyj/zcfg/art/2025/art_f4f31ac31bb8407a8b8d6afd5ac8f411.html"
地役权,地役權,easement,di4 yi4 quan2,"property,civil",CN,INTERNATIONAL,term,中华人民共和国民法典（2020）,他人不动产称供役地，自己的不动产称需役地。,oll-cn-core:cn-easement,cn-easement,CC-BY-4.0,project_authored,按合同约定利用他人不动产，提高自己不动产效益的权利。,项目释译，非官方译文；本译法须结合中国法中的供役地和需役地关系使用。,中华人民共和国民法典（2020） 第372条 https://www.court.gov.cn/zixun/xiangqing/233181.html
垄断协议,壟斷協議,monopoly agreement,long3 duan4 xie2 yi4,competition,CN,INTERNATIONAL,term,中华人民共和国反垄断法（2022修正）,形式不限于书面合同；但应结合具体禁止、例外及豁免规则判断。,oll-cn-core:cn-monopoly-agreement,cn-monopoly-agreement,CC-BY-4.0,project_authored,排除、限制竞争的协议、决定或者其他协同行为。,项目释译，非官方译文；不是只有取得市场独占后订立的协议。,中华人民共和国反垄断法（2022修正） 第16条 https://www.csrc.gov.cn/beijing/c105536/c7431869/content.shtml
增值税,增值稅,value-added tax (VAT),zeng1 zhi2 shui4,tax,CN,INTERNATIONAL,term,中华人民共和国增值税法（2024通过）,现行《增值税法》将境内销售货物、服务、无形资产、不动产以及进口货物纳入征税范围；具体税额还取决于计税方法、税率或征收率等规则。,oll-cn-tax-trade:cn-vat,cn-vat,CC-BY-4.0,project_authored,对境内应税交易以及进口货物依法征收的增值税税种。,项目释译，非官方译文；value-added tax 与常用缩写 VAT 对应本法税种。,中华人民共和国增值税法（2024通过） 第3条 https://fgk.chinatax.gov.cn/zcfgk/c100009/c5237365/content.html
增值税征收率,增值稅徵收率,VAT levy rate,zeng1 zhi2 shui4 zheng1 shou1 lv4,tax,CN,INTERNATIONAL,term,中华人民共和国增值税法（2024通过）,第十一条规定适用简易计税方法计算缴纳增值税的征收率为百分之三；它与第十条的一般“税率”概念应区分。,oll-cn-tax-trade:cn-vat-levy-rate,cn-vat-levy-rate,CC-BY-4.0,project_authored,简易计税方法下用于以销售额计算应纳税额的法定比例。,项目释译，非官方译文；levy rate 用于区分简易计税的征收率与 VAT rate。,"中华人民共和国增值税法（2024通过） 第11,14条 https://fgk.chinatax.gov.cn/zcfgk/c100009/c5237365/content.html"
增值税税率,增值稅稅率,VAT rate,zeng1 zhi2 shui4 shui4 lv4,tax,CN,INTERNATIONAL,term,中华人民共和国增值税法（2024通过）,第十条列出百分之十三、百分之九、百分之六以及特定出口或跨境交易的零税率；具体适用须按交易类型判断。,oll-cn-tax-trade:cn-vat-rate,cn-vat-rate,CC-BY-4.0,project_authored,法律针对不同应税交易或进口货物规定的、用于计算增值税税额的比例税率。,项目释译，非官方译文；VAT rate 指第十条所列税率，不包括简易计税方法的征收率。,中华人民共和国增值税法（2024通过） 第10条 https://fgk.chinatax.gov.cn/zcfgk/c100009/c5237365/content.html
